,angle_of_attack,boat_angle,boat_heel,boat_speed,course_error,datetime,rudder_angle,target_angle,wind_direction,wind_speed
0,110.05202122930854,0,0,0,149.75534852797364,2018-09-21 08:22:56.133486,0,210.2446514720264,110.05202122930855,6.166278136138608
0,109.50609753905792,0,0,0,149.75534852797364,2018-09-21 08:22:56.162906,0,210.2446514720264,109.50609753905795,5.174682314552074
0,110.3375396385025,0,0,0,149.75534852797364,2018-09-21 08:22:56.200623,0,210.2446514720264,110.33753963850252,5.890824810886593
0,110.56564697273734,0,0,0,149.75534852797364,2018-09-21 08:22:56.225049,0,210.2446514720264,110.56564697273734,5.424886101306894
0,110.66304837175221,0,0,0,149.75534852797364,2018-09-21 08:22:56.248377,0,210.2446514720264,110.6630483717522,5.645108365757729
0,111.0430634667967,0,0,0,149.75534852797364,2018-09-21 08:22:56.269454,0,210.2446514720264,111.04306346679671,6.402995468170764
0,110.6831478932462,0,0,0,149.75534852797364,2018-09-21 08:22:56.290780,0,210.2446514720264,110.68314789324619,6.7008692531083085
0,109.85015680531103,0,0,0,149.75534852797364,2018-09-21 08:22:56.314199,0,210.2446514720264,109.85015680531102,6.760678224782798
0,110.54533162305052,0,0,0,149.75534852797364,2018-09-21 08:22:56.335741,0,210.2446514720264,110.54533162305052,6.259893269008687
0,111.3821467653346,0,0,0,149.75534852797364,2018-09-21 08:22:56.358170,0,210.2446514720264,111.3821467653346,5.6352363219855395
0,110.97691302920555,0,0,0,149.75534852797364,2018-09-21 08:22:56.373753,0,210.2446514720264,110.97691302920553,5.958083706438961
0,110.13421797588524,0,0,0,149.75534852797364,2018-09-21 08:22:56.389989,0,210.2446514720264,110.13421797588524,5.991305785748198
0,110.65594916436123,0,0,0,149.75534852797364,2018-09-21 08:22:56.405743,0,210.2446514720264,110.65594916436126,5.160279765186884
0,110.34683391761519,0,0,0,149.75534852797364,2018-09-21 08:22:56.421410,0,210.2446514720264,110.34683391761517,5.850598034757237
0,110.01597486397907,0,0,0,149.75534852797364,2018-09-21 08:22:56.437173,0,210.2446514720264,110.01597486397904,6.08949252528021
0,109.8021756082099,0,0,0,149.75534852797364,2018-09-21 08:22:56.452660,0,210.2446514720264,109.8021756082099,5.575805051461884
0,109.45231751598658,0,0,0,149.75534852797364,2018-09-21 08:22:56.468547,0,210.2446514720264,109.45231751598656,5.891730421698059
0,109.26603932590012,0,0,0,149.75534852797364,2018-09-21 08:22:56.484757,0,210.2446514720264,109.26603932590011,5.522583441290612
0,108.82317438647067,0,0,0,149.75534852797364,2018-09-21 08:22:56.501086,0,210.2446514720264,108.8231743864707,6.333878204000695
0,108.50922577977008,0,0,0,149.75534852797364,2018-09-21 08:22:56.516985,0,210.2446514720264,108.50922577977006,6.532447102251985
0,107.6038050929132,0,0,0,149.75534852797364,2018-09-21 08:22:56.533417,0,210.2446514720264,107.6038050929132,6.595891617884948
0,107.68070671953683,0,0,0,149.75534852797364,2018-09-21 08:22:56.549750,0,210.2446514720264,107.68070671953686,6.12121956658833
0,108.49846373123466,0,0,0,149.75534852797364,2018-09-21 08:22:56.566162,0,210.2446514720264,108.49846373123468,5.1550569510698505
0,107.94815613347305,0,0,0,149.75534852797364,2018-09-21 08:22:56.582573,0,210.2446514720264,107.94815613347308,4.694915433876944
0,107.64151769814777,0,0,0,149.75534852797364,2018-09-21 08:22:56.597976,0,210.2446514720264,107.64151769814777,4.694915433876944
0,108.3654171350023,0,0,0,149.75534852797364,2018-09-21 08:22:56.614453,0,210.2446514720264,108.36541713500229,4.694915433876944
0,108.80529981212459,0,0,0,149.75534852797364,2018-09-21 08:22:56.630325,0,210.2446514720264,108.8052998121246,4.913576247321205
0,108.74781656276991,0,0,0,149.75534852797364,2018-09-21 08:22:56.651371,0,210.2446514720264,108.7478165627699,5.451924382806551
0,109.44630151465299,0,0,0,149.75534852797364,2018-09-21 08:22:56.667543,0,210.2446514720264,109.446301514653,4.694915433876944
0,108.55085165126167,0,0,0,149.75534852797364,2018-09-21 08:22:56.683834,0,210.2446514720264,108.55085165126168,4.694915433876944
0,109.35128299595209,0,0,0,149.75534852797364,2018-09-21 08:22:56.700249,0,210.2446514720264,109.3512829959521,5.191594338905683
0,108.83882045339135,0,0,0,149.75534852797364,2018-09-21 08:22:56.716228,0,210.2446514720264,108.83882045339134,5.893495246460498
0,109.26046229684539,0,0,0,149.75534852797364,2018-09-21 08:22:56.731683,0,210.2446514720264,109.26046229684536,5.854124105183567
0,108.96577625098888,0,0,0,149.75534852797364,2018-09-21 08:22:56.747484,0,210.2446514720264,108.96577625098887,6.550340904368334
0,108.38566175024357,0,0,0,149.75534852797364,2018-09-21 08:22:56.762802,0,210.2446514720264,108.38566175024359,5.959728262289192
