,angle_of_attack,boat_angle,boat_heel,boat_speed,course_error,datetime,rudder_angle,target_angle,wind_direction,wind_speed
0,8.940132709948301,-0.8206396596762031,0.0,0.004093855705968264,-81.7868400243792,2018-11-16 11:10:53.222788,0.0,81.7868400243792,8.940132709948301,19.68156130673252
0,8.348946917316255,0.704989929103249,0.0,-0.09952112654072326,-81.7868400243792,2018-11-16 11:10:53.249252,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,0.2004722050515048,0.0,-0.22859090630706733,-81.7868400243792,2018-11-16 11:10:53.287892,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,1.8796793839797143,0.0,-0.022372231158609226,-81.7868400243792,2018-11-16 11:10:53.310733,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,-1.4125053805525558,0.0,-0.5114448581843227,-81.7868400243792,2018-11-16 11:10:53.331815,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,-0.15359883463242188,0.0,0.08317654902861775,-81.7868400243792,2018-11-16 11:10:53.353552,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,0.9140487386660562,0.0,-0.3821679654392208,-81.7868400243792,2018-11-16 11:10:53.374985,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,1.1304753198747168,0.0,-0.20165992585142004,-81.7868400243792,2018-11-16 11:10:53.396163,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,9.074843871279597,0.5687543755248007,0.0,-0.32049458164562783,-81.7868400243792,2018-11-16 11:10:53.417817,0.0,81.7868400243792,9.074843871279594,19.68156130673252
0,8.472917207385024,-0.3628182960972683,0.0,0.3009485268063543,-81.7868400243792,2018-11-16 11:10:53.439460,0.0,81.7868400243792,8.472917207385013,19.68156130673252
0,8.348946917316255,-0.16417643974603446,0.0,0.24004723274027345,-81.7868400243792,2018-11-16 11:10:53.460842,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,-0.14860749165432127,0.0,-0.05459693172237117,-81.7868400243792,2018-11-16 11:10:53.483230,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,1.8794559613804214,0.0,0.021904237959525324,-81.7868400243792,2018-11-16 11:10:53.504809,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.973490187884948,0.7862600772652452,0.0,0.2760963893553539,-81.7868400243792,2018-11-16 11:10:53.527094,0.0,81.7868400243792,8.973490187884947,19.68156130673252
0,8.823163565926109,-0.4311538817334497,0.0,-0.19784786737092924,-81.7868400243792,2018-11-16 11:10:53.548231,0.0,81.7868400243792,8.8231635659261,19.68156130673252
0,9.358371138759708,-1.9597553010740827,0.0,0.3631243880760705,-81.7868400243792,2018-11-16 11:10:53.573613,0.0,81.7868400243792,9.358371138759711,19.68156130673252
0,9.17658011215579,0.924563906262629,0.0,-0.10609542189618419,-81.7868400243792,2018-11-16 11:10:53.595935,0.0,81.7868400243792,9.17658011215579,19.68156130673252
0,8.57307471413472,-0.963825753815731,0.0,-0.1734346911206061,-81.7868400243792,2018-11-16 11:10:53.618360,0.0,81.7868400243792,8.573074714134718,19.68156130673252
0,9.296144103091933,0.27759013091937396,0.0,0.3017213700701927,-81.7868400243792,2018-11-16 11:10:53.640846,0.0,81.7868400243792,9.296144103091924,19.68156130673252
0,8.530550935857008,-1.7978642768689697,0.0,0.05913188724529226,-81.7868400243792,2018-11-16 11:10:53.662835,0.0,81.7868400243792,8.530550935857018,19.68156130673252
0,8.348946917316255,0.8203190154842658,0.0,-0.0028380003292444076,-81.7868400243792,2018-11-16 11:10:53.684073,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,0.8677171768474279,0.0,-0.06914311699736152,-81.7868400243792,2018-11-16 11:10:53.705335,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,-1.2893096675747018,0.0,-0.030271366247515256,-81.7868400243792,2018-11-16 11:10:53.726540,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,9.108269243235156,0.6499335642503812,0.0,0.011643023103871655,-81.7868400243792,2018-11-16 11:10:53.748777,0.0,81.7868400243792,9.108269243235155,19.68156130673252
0,8.348946917316255,0.33583347535341074,0.0,0.1383418588835968,-81.7868400243792,2018-11-16 11:10:53.771111,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,0.03366324155014089,0.0,-0.07600361211675782,-81.7868400243792,2018-11-16 11:10:53.792286,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,-2.235417940659026,0.0,0.18596857854388057,-81.7868400243792,2018-11-16 11:10:53.816345,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.4891736974418,-2.1780691782574393,0.0,-0.16310350050122022,-81.7868400243792,2018-11-16 11:10:53.837462,0.0,81.7868400243792,8.489173697441801,19.68156130673252
0,8.348946917316255,-0.29943231860635383,0.0,0.45417048650337943,-81.7868400243792,2018-11-16 11:10:53.858736,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,1.8337760580423808,0.0,-0.20791837310182398,-81.7868400243792,2018-11-16 11:10:53.879822,0.0,81.7868400243792,8.348946917316248,19.68156130673252
0,8.348946917316255,-0.8808870391966483,0.0,0.43696554909180113,-81.7868400243792,2018-11-16 11:10:53.901376,0.0,81.7868400243792,8.348946917316248,19.68156130673252
